feature,importance
curiosity,0.07939016351294621
curiosity likely,0.19400495719111244
curious,0.7402472808569495
current,-0.011215875584214888
currently,-0.06990200421772812
curricular,0.23560480863707178
curricular activities,0.010754283060467095
curriculum,-1.063333927155973
cut,0.19901592233686502
cydonia,-0.7436148814747858
cydonia first,0.05501033236892778
da,0.49333272169872755
da vinci,0.2884551494737014
dad,0.9070384726122773
daily,-0.2868068164986989
dalto,-0.6273686823434418
damage,0.23605622386452374
danger,0.5725967268819605
dangerous,0.13470380652405012
dangers,0.7645067588167241
dangers doubts,0.10684255351853929
dangers presents,-0.1347271640141506
dangers venus,-0.9881824632789914
dark,0.16189465191953217
data,9.289323939641483e-05
date,-0.696536370091118
day,-0.2842668902799993
day day,-0.17879322985389012
day school,-0.3748668047284675
day without,0.6960649159697445
day would,-0.10444575913947973
days,0.3888997538130042
dead,0.18027768523694393
deal,0.6566807026341166
dealing,-0.4766261323447437
dear,0.12108593682689316
death,0.21986794597135265
deaths,-0.16147116070749173
debate,0.06508349441414914
